TaskNo	Task		Timeclaims		Status
1	R1,R2,R4	4,7,9			1	
2	R2,R3,R5	2,5,9			1
3	R1,R2,R3,R4	3,6,8,9			0
4	R3,R3,R5	6,2,8			1
5	R1,R2,R3	4,7,9			0
6	R2,R4		7,9			1
7	R2,R4,R4	11,6,8			1
8	R1,R3,R5,R2	4,7,9,11		1	
9	R1,#23,R3	4,6,8			1
10	R3,R4,R5	3,4,7,9			1
11	R1,R4,R2	6,7,8			0	
12	R1,R4,R5	7,2,9			0
13	R3,R5,R2	11,4,7			1
14	R2,R5,R1	7,8,3			1
15	R1,R3,R5	5,8,11			0
16	R2,R4,R3	7,9,11			1
17	R3,R4,R5,R1	3,6,9,11		1	
18	R1,R3,R4,R5	4,7,9,11		1	
19	R1,R3,R4,R5	3,8,4,7			1
20	R2,R3,R5,R4	7,9,11,13		0
21	R1,R3,R5,R4	3,7,8,12		1
22	R1,R2,R3,R5,R4	11,4,8,12,10		1
23	R3,R4,R2,R5,R1	12,17,9,8,6		1
24	R1,R3,R5,R4	11,9,12,8		1
25	R2,R3,R5,R4	12,13,16,9		0
26	R1,R2,R4	5,8,9			1
27	R2,R3,R5	3,7,9			1
28	R1,R2,R3,R4	3,7,18,9		1
29	R3,R3,R5	16,12,8			1
30	R1,R2,R3	14,17,9			1
31	R2,R4		17,19			0
32	R2,R4,R4	11,6,18			1
33	R1,R3,R5,R2	4,17,19,11		0	
34	R1,#23,R3	14,16,8			1
35	R3,R4,R5	3,14,17,9		0	
36	R1,R4,R2	16,17,8			1
37	R1,R4,R5	17,12,9			1
38	R3,R5,R2	11,14,17		1	
39	R2,R5,R1	7,18,13			0
40	R1,R3,R5	5,18,11			1
41	R2,R4,R3	17,19,11		1
42	R3,R4,R5,R1	13,16,9,11		0
43	R1,R3,R4,R5	14,17,9,11		0	
44	R1,R3,R4,R5	13,8,14,17		0
45	R2,R3,R5,R4	17,9,10,13		1
46	R1,R3,R5,R3	13,7,8,12		1
47	R1,R2,R3,R5,R4	11,14,8,12,10		1
48	R3,R4,R2,R5,R1	12,17,9,8,6		1	
49	R1,R3,R5,R4	11,9,12,18		0
50	R2,R3,R5,R4	12,13,16,19		0
51	R1,R2,R4,R5	4,7,9,11		1
52	R2,R3,R5,R1	2,5,9,12		1
53	R1,R2,R3,R4,R5	3,6,8,9,10		1
54	R3,R3,R5,R1	6,2,8,11		1
55	R1,R2,R3,R5	4,7,9,13		1
56	R2,R4,R1	7,9,14			0
57	R2,R4,R4,R5	11,6,8,9		0
58	R1,R3,R5,R2,R4	4,7,9,11,10		0
59	R1,R3,R3,R5	4,6,8,11		0
60	R3,R4,R5,R1	3,4,7,9			1
61	R1,R4,R2,R5	6,7,8,11		1
62	R1,R4,R5,R3	7,2,9,21		1
63	R3,R5,R2,R4	11,4,7,12		0
64	R2,R5,R1,R3	7,8,3,14		1
65	R1,R3,R5,R2	5,8,11,15		1
66	R2,R4,R3,R1	7,9,11,17		1
67	R3,R4,R5,R1	3,6,9,11		1
68	R1,R3,R4,R5,R2	4,7,9,11,17		0
69	R1,R3,R4,R5,R2	3,8,4,7,11		1
70	R2,R3,R5,R4,R2	7,9,11,13,12		1
71	R1,R3,R5,R4,R2	3,7,8,12,11		1
72	R1,R2,R3,R5,R4	11,4,8,12,10		1
73	R3,R4,R2,R5,R1	12,17,9,8,6		1
74	R1,R3,R5,R4	11,9,12,8		1
75	R2,R3,R5,R4	12,13,16,9		1
